item_id,user_id,Rating,item_name
1250,76561197970982479,5,Killing Floor
1250,EndAtHallow,1,Killing Floor
1250,76561198077432581,5,Killing Floor
1250,76561198057958244,5,Killing Floor
1250,46366536564574576346346546,5,Killing Floor
1250,76561198070487821,3,Killing Floor
1250,kruger287,2,Killing Floor
1250,76561198053314010,3,Killing Floor
1250,goddamnterrorists,5,Killing Floor
1250,the1nchmonster,5,Killing Floor
1250,gaaaaaayyyy,5,Killing Floor
1250,76561198114969651,5,Killing Floor
1250,76561198051082631,3,Killing Floor
1250,76561198044038344,3,Killing Floor
1250,76561198076539681,5,Killing Floor
1250,Aperturenc,4,Killing Floor
1250,Arimitage_Shanks,5,Killing Floor
1250,AxeOfChaos,1,Killing Floor
1250,76561198064135570,5,Killing Floor
1250,DiamondSwordBeGod,5,Killing Floor
1250,scyana4,5,Killing Floor
1250,MattBowles,1,Killing Floor
1250,76561198085097560,5,Killing Floor
1250,76561198073198561,5,Killing Floor
1250,johntheasian,5,Killing Floor
1250,kennychan222,5,Killing Floor
1250,pippymayne,5,Killing Floor
1250,mistermooth,3,Killing Floor
1250,76561198074301386,5,Killing Floor
1250,76561198107093846,5,Killing Floor
1250,watters81,5,Killing Floor
1250,76561198072351366,3,Killing Floor
1250,xupidah,5,Killing Floor
1250,shez13,3,Killing Floor
1250,fruity8,3,Killing Floor
1250,RandomSounds,1,Killing Floor
1250,LimitsAU,3,Killing Floor
1250,kuhn_dog2323,5,Killing Floor
1250,Coolmouse,5,Killing Floor
1250,76561198058477537,1,Killing Floor
1250,berkyjef,5,Killing Floor
1250,Koreanpony,3,Killing Floor
1250,adenbrazza,3,Killing Floor
1250,76561198079345453,5,Killing Floor
1250,76561198042993298,1,Killing Floor
1250,76561198083104626,5,Killing Floor
1250,DickTickler,5,Killing Floor
1250,76561198066638174,1,Killing Floor
1250,76561198084233046,3,Killing Floor
1250,Rodey1,5,Killing Floor
1250,EthanDennisMcKormick,5,Killing Floor
1250,76561198099488712,5,Killing Floor
1250,deathbycaffeinee,5,Killing Floor
1250,theo8396,3,Killing Floor
1250,Grizzle-_-99,5,Killing Floor
1250,drkrise,5,Killing Floor
1250,holyblade98,1,Killing Floor
1250,Ghastkiller,3,Killing Floor
1250,lmarcegb,5,Killing Floor
1250,76561198064876158,5,Killing Floor
1250,LordMemestar,5,Killing Floor
1250,76561198044416353,5,Killing Floor
1250,karlmarx420,5,Killing Floor
1250,76561198005781441,3,Killing Floor
1250,krisz2412,3,Killing Floor
1250,76561198033167818,5,Killing Floor
1250,76561197989053217,3,Killing Floor
1250,76561198126883516,1,Killing Floor
1250,76561198071991173,5,Killing Floor
1250,AndogZAR,5,Killing Floor
1250,pharonmix,3,Killing Floor
1250,drftkinG,3,Killing Floor
1250,76561198073062456,3,Killing Floor
1250,nexoses,5,Killing Floor
1250,76561198088009683,3,Killing Floor
1250,76561198056790377,3,Killing Floor
1250,YourNormalAverageGuy,5,Killing Floor
1250,76561198095997286,5,Killing Floor
1250,PhoenixRave,3,Killing Floor
1250,76561198085105930,5,Killing Floor
1250,QuackSauce195,5,Killing Floor
1250,76561198065725333,1,Killing Floor
1250,SoulJamboree,5,Killing Floor
1250,76561198041472663,5,Killing Floor
1250,sogogamer,1,Killing Floor
1250,76561198041199233,5,Killing Floor
1250,76561198086366362,5,Killing Floor
1250,epic_doom,1,Killing Floor
1250,76561198010465186,5,Killing Floor
1250,76561198015460867,5,Killing Floor
1250,kirkhammett1992,5,Killing Floor
1250,KyleHoll,1,Killing Floor
1250,controgopher,5,Killing Floor
1250,wetwhistle,5,Killing Floor
1250,ShadowSpectreZer0,5,Killing Floor
1250,Dragonitesunite,3,Killing Floor
1250,joaquinable,1,Killing Floor
1250,76561198042760534,5,Killing Floor
1250,76561198044602692,1,Killing Floor
1250,76561198047478302,5,Killing Floor
1250,darrylcheng,5,Killing Floor
1250,76561198049951905,1,Killing Floor
1250,76561198050351207,1,Killing Floor
1250,Leonyx,3,Killing Floor
1250,MrRugMan,5,Killing Floor
1250,76561198054693295,1,Killing Floor
1250,76561198055907480,5,Killing Floor
1250,76561198056241117,5,Killing Floor
1250,76561198057592648,5,Killing Floor
1250,76561198057643805,3,Killing Floor
1250,aussiedude101101,5,Killing Floor
1250,bielzebu,5,Killing Floor
1250,76561198063642749,5,Killing Floor
1250,RAZERSTRIKE,5,Killing Floor
1250,76561198071822951,3,Killing Floor
1250,furtsan,3,Killing Floor
1250,76561198078573640,1,Killing Floor
1250,pono55,5,Killing Floor
1250,76561198082955718,5,Killing Floor
1250,keegan1232123,5,Killing Floor
1250,OfficialBlanc,1,Killing Floor
1250,duck0501,3,Killing Floor
1250,ArtyBoomy,3,Killing Floor
1250,76561198089288956,3,Killing Floor
1250,76561198089905857,3,Killing Floor
1250,76561198091612238,2,Killing Floor
1250,kuaspereira,3,Killing Floor
1250,76561198093153432,5,Killing Floor
1250,76561198095862530,5,Killing Floor
1250,death-hunter,5,Killing Floor
1250,76561198081962345,3,Killing Floor
1250,76561198092227136,3,Killing Floor
1250,76561198007539695,5,Killing Floor
1250,fintanboy,3,Killing Floor
1250,23184798,5,Killing Floor
1250,76561198081295657,5,Killing Floor
1250,jz4012,5,Killing Floor
1250,lone_cow,5,Killing Floor
1250,bRNSHITUP,3,Killing Floor
1250,76561198052266063,3,Killing Floor
1250,Sadtaco,3,Killing Floor
1250,76561197971124277,5,Killing Floor
1250,76561198051582488,1,Killing Floor
1250,lachyS,5,Killing Floor
1250,larrythebrony,5,Killing Floor
1250,UMURAI,3,Killing Floor
1250,Bunderama,3,Killing Floor
1250,POKESTEAM,5,Killing Floor
1250,76561198069132107,1,Killing Floor
1250,thelonewolfk32,5,Killing Floor
1250,76561197972261430,1,Killing Floor
1250,PogChampFace,1,Killing Floor
1250,76561198054686826,5,Killing Floor
1250,76561198046155575,5,Killing Floor
1250,ec7yp4,5,Killing Floor
1250,desulax,5,Killing Floor
1250,LVURFR3NZ,5,Killing Floor
1250,KirbyBlackCat,5,Killing Floor
1250,BewareWeLive,5,Killing Floor
1250,sgt116,5,Killing Floor
1250,spadesace007,5,Killing Floor
1250,76561198100811093,5,Killing Floor
1250,76561198053671421,3,Killing Floor
1250,76561198056006228,5,Killing Floor
1250,76561198082963778,5,Killing Floor
1250,SpudLord,5,Killing Floor
1250,TMW_Wolf,1,Killing Floor
1250,76561198141682446,1,Killing Floor
1250,76561198053138682,5,Killing Floor
1250,TheCookiesDream,1,Killing Floor
1250,76561197982124018,5,Killing Floor
1250,BoomerBacon,3,Killing Floor
1250,Riverthetf2medic,1,Killing Floor
1250,76561198032012843,5,Killing Floor
1250,blighty666,5,Killing Floor
1250,devoltion,1,Killing Floor
1250,ausabotage,5,Killing Floor
1250,76561198060575190,5,Killing Floor
1250,Chirox21,5,Killing Floor
1250,76561198070376530,5,Killing Floor
1250,76561198070812159,5,Killing Floor
1250,hashtagkanatube,3,Killing Floor
1250,76561198093167105,3,Killing Floor
1250,76561198094039971,3,Killing Floor
1250,mamat08,3,Killing Floor
1250,76561198071716213,5,Killing Floor
1250,Letachal,5,Killing Floor
1250,jubjub727,5,Killing Floor
1250,TheKazimir,1,Killing Floor
1250,whiteisthenewblack,1,Killing Floor
1250,moomooandu,1,Killing Floor
1250,justthathelicopterpilot,5,Killing Floor
1250,19990923,3,Killing Floor
1250,76561198083797462,3,Killing Floor
1250,FDAOP,3,Killing Floor
1250,Dunaway,5,Killing Floor
1250,bananaman69,3,Killing Floor
1250,remyau,1,Killing Floor
1250,76561198075427390,3,Killing Floor
1250,omaiornoob,1,Killing Floor
1250,76561197987617385,5,Killing Floor
1250,76561198060615265,1,Killing Floor
1250,76561198081683029,3,Killing Floor
1250,76561198064063056,5,Killing Floor
1250,FakerAU,5,Killing Floor
1250,obamaisblackiswear,5,Killing Floor
1250,76561197968314999,3,Killing Floor
1250,76561198086448358,3,Killing Floor
1250,Paulie1333,5,Killing Floor
1250,maitad,5,Killing Floor
1250,doubleh8,5,Killing Floor
1250,76561198088129281,5,Killing Floor
1250,EVERGRAS,5,Killing Floor
1250,ImplyingihaveaURL,5,Killing Floor
1250,76561198046508397,1,Killing Floor
1250,76561198048927477,3,Killing Floor
1250,76561198053668035,3,Killing Floor
1250,76561198060075398,3,Killing Floor
1250,76561198060545297,3,Killing Floor
1250,The_Goosey,4,Killing Floor
1250,76561198065001162,1,Killing Floor
1250,76561198068655831,1,Killing Floor
1250,FacelessSweatshopWorker,5,Killing Floor
1250,12332165478953761,5,Killing Floor
1250,epicscoutfan,5,Killing Floor
1250,76561198083635483,5,Killing Floor
1250,Riverishot,3,Killing Floor
1250,coolo980,5,Killing Floor
1250,76561198100359331,3,Killing Floor
1250,76561198105635842,5,Killing Floor
1250,Efreak,5,Killing Floor
1250,cocokaru,1,Killing Floor
